,0
 I 'm terrified .,2
" Oh , really ? ",2
Why ...,2
That 's us .,2
I don 't miss it .,2
I 'm not so sure .,2
It 's difficult .,2
I 'm not impressed .,2
ET / 12 : 00 p.m.,2
" No , I won 't .",2
PT / 1 : 00 p.m.,2
You 're not .,2
Don 't get it .,2
 What do they say ?,2
What 's up ?,2
Aren 't we ?,2
It 's working .,2
"End of story . """,2
 You see ?,2
It 's a classic .,2
It 's all free .,2
 I am disgraced .,2
He 's human .,2
That 's scary .,2
But I 'm not .,2
That 's life .,2
It 's not just me .,2
That 's outrageous !,2
Whats next ?,2
 Hello ! ,2
 Not particularly . ,2
 It was a good day .,2
Except it 's not .,2
"Yes . """,2
 I did it ! ,2
 It looked great .,2
That 's my job .,2
On a day ...,1
He apologised ! ! !,1
The answer : both .,1
Their luck is in .,1
Duuuuuude !,1
25 through Nov .,1
"MELBOURNE , Feb .",1
It does say that .,1
We are men !,1
TY : Sure .,1
It is affordable .,1
Maybe too easy .,1
They are skeptical .,1
He raped 10 women .,1
It may be worth it .,1
They are a threat .,1
It was ditched .,1
ASSANKA ! !,1
 McPalin  ?,1
 Maybe men are ...,1
Angela Merkel .,1
They are a show .,1
I am obese .,1
But just one man .,1
All proclaimed NO !,1
It snuck up on me .,1
It says here .,1
November .,1
"He , and we , wish .",1
He is a delight .,1
Revatrol .,1
I have solar power .,1
It 's about time .,1
I know I will . ...,1
Dark arts .,1
They 're coming .,1
No warning .,1
Who does the lawn ?,1
Schanzer said .,1
I 'm pas ...,1
We want your views .,1
"The lede , Karen .",1
BLANKET : HERMÈS .,1
"Sincerely , how ?",1
Which were ?,1
1 b 's of war .,1
Tell you what .,1
I support her .,1
No goal .,1
You gotta love her !,1
27 and March 5 .,1
Engage brain !,1
Some years ?,1
Persistently bad .,1
Know when to go .,1
"Yes , you !",1
23 in Las Vegas .,1
S _ Eveland .,1
Got them .,1
2B _ Overbay ( 8 ) .,1
No answer came .,1
Maybe a wheat beer ?,1
It must be changed .,1
